"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13875","test","webkit","Wed Sep 10 10:41:27 IST 2025","passed","Wed Sep 10 10:41:41 IST 2025","","basic_locator.spec.js","",""
"","12393","test","firefox","Wed Sep 10 10:41:18 IST 2025","passed","Wed Sep 10 10:41:30 IST 2025","","basic_locator.spec.js","",""
"","9091","test","chromium","Wed Sep 10 10:49:45 IST 2025","passed","Wed Sep 10 10:49:54 IST 2025","","basic_locator.test.js","",""
"","5076","test","chromium","Wed Sep 10 10:41:18 IST 2025","passed","Wed Sep 10 10:41:23 IST 2025","","basic_locator.spec.js","",""
"","11382","test","firefox","Wed Sep 10 10:49:45 IST 2025","passed","Wed Sep 10 10:49:56 IST 2025","","basic_locator.test.js","",""
"","6652","test","webkit","Wed Sep 10 10:49:58 IST 2025","passed","Wed Sep 10 10:50:05 IST 2025","","basic_locator.test.js","",""
